Kodu,Parfüm Adı,Cinsiyet,Esans,Alkol,Toplam Stok,Fiyat MG/$/KG,Fiyat TL/50 GR,bas_notalar,kalp_notalar,dip_notalar,mevsim,gunun_zamani,ortam,kiyafet_stili,koku_ailesi,koku_yogunlugu,duygusal_etiketler,aciklama_tr
L-157,Louis Vuitton - Pacific Chill,Unisex,,,800.0,,,"Nane, Bergamot, Yeşil Elma","Lavanta, Deniz Notası","Sedir, Ambergris",Yaz,Gündüz,"Açık Hava, Günlük","Casual, Sportif","Taze, Aromatik",Hafif,"ferah, canlandırıcı, genç","Pacific Chill, serinletici nane ve deniz notalarıyla yaz günleri için ideal unisex bir koku. Hafif ve rahatlatıcıdır."
L-158,Louis Vuitton - On The Beach,Unisex,,,100.0,,,"Bergamot, Mandalina, Deniz Notası","Yasemin, Misk","Sedir, Amber","Yaz, İlkbahar",Gündüz,"Açık Hava, Günlük, Romantik","Casual, Bohem","Narenciye, Çiçeksi",Orta,"hafif, neşeli, özgür","On The Beach, deniz ve narenciye notalarıyla yazın enerjisini yansıtan unisex bir parfüm. Günlük kullanıma uygundur."
L-159,Louis Vuitton - Spell On You,Kadın,,,100.0,,,"Bergamot, Mandalina, Siyah Frenk Üzümü","Yasemin, İris, Misk","Paçuli, Amber, Sedir","İlkbahar, Sonbahar",Gece,"Romantik, Özel Davet","Şık, Klasik","Çiçeksi, Pudralı",Orta,"büyüleyici, zarif, feminen","Spell On You, büyüleyici çiçeksi ve pudralı notalarıyla kadınlar için özel bir koku. Gece kullanımı için uygundur."
L-160,Louis Vuitton - Symphony,Unisex,,,200.0,,,"Bergamot, Mandalina, Siyah Frenk Üzümü","Yasemin, İris, Misk","Sedir, Paçuli, Amber","İlkbahar, Yaz, Sonbahar",Her İkisi,"Günlük, Özel Davet, Ofis","Casual, Şık","Narenciye, Çiçeksi",Orta,"enerjik, neşeli, sofistike","Symphony, taze ve çiçeksi notaların uyumuyla her ortamda kullanılabilen unisex bir parfüm. Canlı ve zarif bir iz bırakır."
M-100,Maison Margiella- By the Fireplace,Unisex,,,,,,"Portakal Çiçeği, Karanfil, Tarçın","Kahve, Fındık, Odunsu Notlar","Vanilya, Tütünümsü, Reçine","Sonbahar, Kış",Gece,"Özel Davet, Gece Hayatı, Romantik","Şık, Klasik","Oryantal, Odunsu, Gourmand",Yoğun,"sıcak, samimi, rahatlatıcı","By the Fireplace, sıcak odunsu ve gourmand notalarıyla kış akşamlarının vazgeçilmezi. Kalıcı ve etkileyici bir unisex koku."
M-101,Maioson crivelli - Oud maracuja,Unisex,,,300.0,385,,"Oud, Maracuja, Bergamot","Gül, Yasemin, Baharatlar","Amber, Misk, Sedir","Sonbahar, Kış",Gece,"Özel Davet, Gece Hayatı","Şık, Klasik","Odunsu, Oryantal",Yoğun,"lüks, gizemli, çekici","Oud Maracuja, yoğun oud ve egzotik maracuja notalarıyla sofistike ve kalıcı bir unisex parfüm. Gece kullanımı için uygundur."
M-102,Maioson crivelli - hibiscus mahajad,Erkek,,,200.0,275,,"Hibiscus, Bergamot, Biber","Sedir, Paçuli, Baharatlar","Amber, Misk, Deri","Sonbahar, Kış",Gece,"Özel Davet, Gece Hayatı","Formal, Klasik","Odunsu, Deri, Oryantal",Yoğun,"güçlü, erkeksi, sofistike","Hibiscus Mahajad, baharatlı ve deri notalarıyla erkeksi ve etkileyici bir koku. Özel geceler için idealdir."
M-111,Maioson Francis  Kurkdjan - Grand soir,Unisex,,,50.0,160,,"Bergamot, Mandalina, Lavanta","Yasemin, Gül, Amber","Vanilya, Tonka Fasulyesi, Sedir","Sonbahar, Kış",Gece,"Özel Davet, Romantik","Şık, Klasik","Oryantal, Çiçeksi",Yoğun,"lüks, sıcak, etkileyici","Grand Soir, sıcak amber ve vanilya notalarıyla geceye özel sofistike bir unisex parfüm. Kalıcı ve dikkat çekicidir."
M-112,Maioson Francis  Kurkdjan - Baccarat Rouge 540,Unisex,,,50.0,225,,"Saffron, Yasemin","Amberwood, Ambergris","Sedir, Mazı Ağacı","Sonbahar, Kış",Gece,"Özel Davet, Gece Hayatı, Romantik","Şık, Klasik","Oryantal, Odunsu",Çok Yoğun,"lüks, büyüleyici, kalıcı","Baccarat Rouge 540, eşsiz amber ve odunsu notalarıyla dünya çapında ikonikleşmiş unisex bir koku. Gece ve özel anlar için mükemmeldir."
M-113,Maison Francis Kurkdjian – Aqua Celestia,Unisex,,,80.0,175,,"Limon, Nane, Siyah Frenk Üzümü","Misk, Siyah Orkide","Sedir, Beyaz Misk","İlkbahar,Yaz",Gündüz,"Günlük,Açık Hava,Ofis","Casual,Şık","Taze,Aromatik",Hafif,"ferah,canlandırıcı,temiz","Aqua Celestia, ferah ve hafif narenciye notalarıyla yaz günlerine enerji katan unisex bir parfümdür."
M-114,Maison Francis Kurkdjian – Aqua Universalis Forte,Unisex,,,80.0,158,,"Bergamot, Limon, Portakal Çiçeği","Mimoza, Yasemin","Misk, Amber","İlkbahar,Yaz","Gündüz,Gece","Ofis,Günlük,Özel Davet","Casual,Formal","Narenciye,Çiçeksi",Orta,"ferah,zarif,canlı","Aqua Universalis Forte, temiz ve parlak narenciye notalarıyla her ortamda rahatlıkla kullanılabilen unisex bir koku."
M-115,Maison Francis Kurkdjian - Oud Satin Mood Extrait De Parfum U76,Unisex,,,400.0,100,,"Mavi Yasemin, Menekşe, Gül","Oud, Amber, Vanilya","Misk, Paçuli, Ambergris","Sonbahar,Kış",Gece,"Özel Davet,Gece Hayatı,Romantik","Şık,Formal","Oryantal,Odunsu",Çok Yoğun,"lüks,baş döndürücü,çekici","Oud Satin Mood Extrait De Parfum, zengin oud ve kadifemsi çiçek notalarıyla sofistike ve kalıcı bir unisex parfümdür."
M-116,Maison Francis Kurkdjian - Oud,Unisex,,,80.0,110,,"Sedir, Paçuli","Oud, Gül","Amber, Misk","Sonbahar,Kış",Gece,"Özel Davet,Gece Hayatı","Formal,Şık","Odunsu,Oryantal",Yoğun,"gizemli,derin,lüks","Maison Francis Kurkdjian Oud, yoğun ve sofistike oud aromasıyla güçlü ve etkileyici bir unisex kokudur."
M-117,Maison Francis Kurkdjian - Amyris Homme Extrait,Erkek,,,100.0,,,"Bergamot, Lavanta","Amyris, Sardunya","Misk, Amber","İlkbahar,Sonbahar","Gündüz,Gece","Ofis,Günlük,Özel Davet","Casual,Formal","Aromatik,Odunsu",Orta,"ferah,klasik,zarif","Amyris Homme Extrait, aromatik ve odunsu notalarıyla erkekler için sofistike ve modern bir parfümdür."
M-118,Maison Francis Kurkdjian - Baccarat Rouge 540 Extrait,Unisex,,,0.0,,,"Saffron, Yasemin","Amberwood, Ambergris","Sedir, Misk","Sonbahar,Kış",Gece,"Özel Davet,Gece Hayatı,Romantik","Şık,Formal","Oryantal,Odunsu",Çok Yoğun,"lüks,çekici,kalıcı","Baccarat Rouge 540 Extrait, zengin amber ve odunsu notalarıyla unutulmaz ve sofistike bir unisex parfümdür."
M-120,Mancera – Aqua Wood,Erkek,,,50.0,125,,"Bergamot, Greyfurt","Sedir, Paçuli","Misk, Amber","İlkbahar,Yaz",Gündüz,"Günlük,Ofis,Açık Hava","Casual,Sportif","Narenciye,Odunsu",Orta,"ferah,enerjik,canlandırıcı","Aqua Wood, narenciye ve odunsu notaların dengesiyle erkekler için taze ve dinamik bir koku sunar."
M-121,Mancera - Black Gold,Erkek,,,70.0,110,,"Bergamot, Tarçın","Gül, Yasemin","Vanilya, Amber, Misk","Sonbahar,Kış",Gece,"Gece Hayatı,Özel Davet,Romantik","Şık,Formal","Oryantal,Gourmand",Yoğun,"çekici,baş döndürücü,lüks","Black Gold, baharatlı ve tatlı notaların harmanıyla erkekler için sıcak ve etkileyici bir parfümdür."
M-122,Mancera – Black Vanilla,Unisex,,,0.0,85,,"Siyah Frenk Üzümü, Bergamot","Vanilya, Yasemin","Paçuli, Misk","Sonbahar,Kış",Gece,"Özel Davet,Romantik,Gece Hayatı","Şık,Formal","Gourmand,Çiçeksi",Yoğun,"tatlı,çekici,romantik","Black Vanilla, tatlı vanilya ve meyvemsi notalarla unisex kullanıma uygun sıcak ve davetkar bir parfümdür."
M-123,Mancera – Cedrat Boise,Unisex,,,400.0,150,,"Bergamot, Greyfurt","Sedir, Paçuli","Misk, Amber","İlkbahar,Yaz","Gündüz,Gece","Ofis,Günlük,Açık Hava","Casual,Formal","Narenciye,Odunsu",Orta,"ferah,canlandırıcı,enerjik","Cedrat Boise, narenciye ve odunsu aromaların dengesiyle her ortamda rahatlıkla kullanılabilen unisex bir parfümdür."
M-124,Mancera – Hindu Kush,Unisex,,,300.0,170,,"Karanfil, Tarçın","Kenevir, Misk","Paçuli, Amber","Sonbahar,Kış",Gece,"Gece Hayatı,Özel Davet","Şık,Bohem","Odunsu,Oryantal",Yoğun,"gizemli,derin,özgün","Hindu Kush, baharatlı ve odunsu notalarıyla güçlü ve etkileyici unisex bir koku deneyimi sunar."
M-125,Mancera - Roses vanille,Kadın,,,0.0,62,,"Gül, Siyah Frenk Üzümü","Vanilya, Paçuli","Misk, Amber","İlkbahar,Sonbahar","Gündüz,Gece","Romantik,Özel Davet,Günlük","Şık,Romantik","Çiçeksi,Gourmand",Orta,"romantik,şehvetli,zarif","Roses Vanille, gül ve vanilya notalarının birleşimiyle kadınlar için sıcak ve çekici bir parfümdür."
M-126,Mancera - Coco Vanille,Kadın,,,,,,"Portakal Çiçeği, Hindistan Cevizi","Vanilya, Tonka Fasulyesi","Misk, Amber","İlkbahar,Yaz",Gündüz,"Günlük,Açık Hava,Ofis","Casual,Bohem","Gourmand,Çiçeksi",Orta,"tatlı,ferah,neşeli","Coco Vanille, tropikal vanilya ve portakal çiçeği notalarıyla kadınlar için sıcak ve neşeli bir yaz kokusudur."
M-127*,Mancera - Amore Caffe,Unisex,,,200.0,,,"Kahve, Portakal Çiçeği","Vanilya, Süt","Misk, Amber","Sonbahar,Kış","Gündüz,Gece","Günlük,Romantik,Özel Davet","Şık,Casual","Gourmand,Oryantal",Orta,"sıcak,çekici,konforlu","Amore Caffe, kahve ve vanilya notalarıyla unisex kullanıma uygun sıcak ve davetkar bir parfümdür."
M-131,Marc antoine - Barrois tilia,Unisex,,,200.0,210,,"Bergamot, Lavanta","Sedir, Paçuli","Misk, Amber","İlkbahar,Sonbahar","Gündüz,Gece","Ofis,Günlük,Özel Davet","Casual,Formal","Aromatik,Odunsu",Orta,"klasik,zarif,rahatlatıcı","Barrois Tilia, aromatik ve odunsu notaların dengesiyle unisex kullanıma uygun sofistike bir parfümdür."
M-132,Marc antoine barrois - Ganymede,Unisex,,,300.0,235,,"Bergamot, Anason, Lavanta","Sandal ağacı, Paçuli, Vetiver","Amber, Misk, Deri","Sonbahar,Kış",Gece,"Özel Davet,Gece Hayatı","Şık,Formal","Odunsu,Deri",Orta,"Gizemli,Çekici,Yoğun","Ganymede, derin ve sofistike odunsu ve deri notalarıyla dikkat çeker. Akşam kullanımı için ideal, etkileyici bir unisex parfümdür."
M-133,Marc antoine barrois - Ganymede Extrait,Unisex,,,,,,"Bergamot, Anason, Lavanta","Sandal ağacı, Paçuli, Vetiver","Amber, Misk, Deri","Sonbahar,Kış",Gece,"Özel Davet,Gece Hayatı","Şık,Formal","Odunsu,Deri",Çok Yoğun,"Yoğun,Güçlü,Büyüleyici","Ganymede Extrait, orijinal Ganymede'in daha yoğun ve kalıcı versiyonudur. Derin deri ve amber notalarıyla sofistike bir deneyim sunar."
M-140,Memo- Marfa,Unisex,,,600.0,,,"Bergamot, Greyfurt, Kişniş","Sedir, Yasemin, Tarçın","Amber, Misk, Deri","İlkbahar,Sonbahar",Her İkisi,"Günlük,Ofis,Açık Hava","Casual,Bohem","Narenciye,Odunsu",Orta,"Ferah,Doğal,Canlandırıcı","Marfa, ferah narenciye ve odunsu notaların dengesiyle özgün bir unisex parfümdür. Günlük kullanıma uygun, enerjik bir koku."
M-141,Memo - Iberian Leather,Unisex,,,100.0,215,,"Tarçın, Karanfil, Kakule","Deri, Sedir, Paçuli","Amber, Vanilya, Misk","Sonbahar,Kış",Gece,"Özel Davet,Gece Hayatı,Romantik","Şık,Formal","Deri,Oryantal",Yoğun,"Çekici,Sıcak,Gizemli","Iberian Leather, baharatlı ve deri notalarının zengin birleşimiyle sofistike ve etkileyici bir parfümdür. Akşam kullanımı için idealdir."
M-142,Memo – Italian Leather,Unisex,,,30.0,130,,"Bergamot, Limon, Lavanta","Deri, Sardunya, Yasemin","Sedir, Misk, Amber","İlkbahar,Yaz",Gündüz,"Günlük,Ofis,Açık Hava","Casual,Sportif","Narenciye,Deri",Orta,"Canlı,Modern,Ferah","Italian Leather, taze narenciye ve deri notalarının uyumuyla enerjik ve şık bir unisex parfümdür. Günlük kullanıma uygundur."
M-143,Memo - Lalibela Oud Eau De Parfum,Unisex,,,100.0,120,,"Oud, Sedir, Baharatlar","Gül, Paçuli, Amber","Misk, Vanilya, Deri","Sonbahar,Kış",Gece,"Özel Davet,Gece Hayatı","Şık,Formal","Odunsu,Oryantal",Çok Yoğun,"Lüks,Gizemli,Çekici","Lalibela Oud, yoğun oud ve baharat notalarıyla zenginleştirilmiş, sofistike ve kalıcı bir parfümdür. Akşam ve özel anlar için uygundur."
M-144,Memo – Ocean Leather,Unisex,,,250.0,95,,"Deniz Notaları, Bergamot, Limon","Deri, Sedir, Yasemin","Misk, Amber, Paçuli","Yaz,İlkbahar",Gündüz,"Günlük,Açık Hava,Ofis","Casual,Sportif","Taze,Deri",Orta,"Ferahlık,Canlılık,Özgürlük","Ocean Leather, deniz esintisi ve deri notalarının uyumuyla ferah ve modern bir unisex parfümdür. Günlük ve yaz kullanımı için idealdir."
M-145,Memo - Russian leather,Unisex,,,100.0,145,,"Tarçın, Karanfil, Baharatlar","Deri, Sedir, Paçuli","Amber, Misk, Vanilya","Sonbahar,Kış",Gece,"Özel Davet,Gece Hayatı","Şık,Formal","Deri,Oryantal",Yoğun,"Gizemli,Çekici,Sıcak","Russian Leather, baharat ve deri notalarının zengin birleşimiyle güçlü ve etkileyici bir parfümdür. Akşam kullanımı için uygundur."
M-146,Memo- African Leather,Unisex,,,100.0,225,,"Bergamot, Tarçın, Kişniş","Deri, Sedir, Yasemin","Amber, Misk, Vanilya","Sonbahar,Kış",Gece,"Özel Davet,Gece Hayatı","Şık,Formal","Deri,Oryantal",Yoğun,"Egzotik,Gizemli,Çekici","African Leather, egzotik baharatlar ve deri notalarıyla zenginleştirilmiş, güçlü ve sofistike bir unisex parfümdür."
M-147,Memo- Marfa Spices,Unisex,,,350.0,220,,"Tarçın, Karanfil, Zencefil","Deri, Paçuli, Sedir","Amber, Misk, Vanilya","Sonbahar,Kış",Gece,"Özel Davet,Gece Hayatı","Şık,Formal","Deri,Oryantal",Yoğun,"Sıcak,Çekici,Gizemli","Marfa Spices, baharat ve deri notalarının sıcak birleşimiyle etkileyici ve kalıcı bir parfümdür. Akşam kullanımı için uygundur."
M-148,Memo- Sicilian Leather,Unisex,,,200.0,140,,"Limon, Bergamot, Tarçın","Deri, Yasemin, Sedir","Amber, Misk, Vanilya","İlkbahar,Sonbahar",Her İkisi,"Günlük,Ofis,Açık Hava","Casual,Şık","Narenciye,Deri",Orta,"Canlı,Modern,Şık","Sicilian Leather, taze narenciye ve deri notalarının dengesiyle enerjik ve sofistike bir parfümdür. Günlük ve özel kullanıma uygundur."
M-149,Memo- Winter Palace,Unisex,,,200.0,90,,"Tarçın, Karanfil, Baharatlar","Amber, Sedir, Vanilya","Misk, Deri, Oud",Kış,Gece,"Özel Davet,Gece Hayatı,Romantik","Şık,Formal","Oryantal,Odunsu",Çok Yoğun,"Sıcak,Gizemli,Lüks","Winter Palace, zengin baharat ve odunsu notalarıyla kış akşamları için ideal, sofistike bir unisex parfümdür."
M-150,Memo - Kedu Sesame,Unisex,,,100.0,,,"Susam, Narenciye, Baharatlar","Deri, Paçuli, Sedir","Amber, Misk, Vanilya","Sonbahar,İlkbahar",Her İkisi,"Günlük,Ofis,Açık Hava","Casual,Bohem","Deri,Oryantal",Orta,"Sıcak,Doğal,Özgün","Kedu Sesame, susam ve deri notalarının özgün birleşimiyle dikkat çeken, günlük kullanıma uygun bir unisex parfümdür."
M-151,Memo - Tamarindo,Unisex,,,200.0,,,"Tamarind, Narenciye, Baharatlar","Deri, Paçuli, Sedir","Amber, Misk, Vanilya","Sonbahar,Kış",Gece,"Özel Davet,Gece Hayatı","Şık,Formal","Deri,Oryantal",Yoğun,"Egzotik,Gizemli,Çekici","Tamarindo, tamarind ve deri notalarının egzotik birleşimiyle güçlü ve etkileyici bir unisex parfümdür."
M-160,Montale - arabians tonka,Unisex,,,300.0,245,,"Bergamot, Tarçın, Kakule","Tonka Fasulyesi, Vanilya, Amber","Misk, Sandal Ağacı, Deri","Sonbahar,Kış",Gece,"Özel Davet,Gece Hayatı,Romantik","Şık,Formal","Gourmand,Oryantal",Yoğun,"Tatlı,Sıcak,Çekici","Arabians Tonka, tatlı tonka fasulyesi ve baharat notalarıyla sıcak ve davetkar bir unisex parfümdür. Akşam kullanımı için uygundur."
M-161,Montale - Black aoud,Erkek,,,10.0,88,,"Safran, Gül, Siyah Frenk Üzümü","Gül, Oud, Paçuli","Amber, Misk, Vanilya, Sedir","Sonbahar,Kış",Gece,"Özel Davet,Gece Hayatı","Şık,Formal","Oryantal,Odunsu",Çok Yoğun,"Gizemli,Çekici,Lüks","Black Aoud, zengin oud ve safran notalarıyla güçlü ve etkileyici bir erkek parfümüdür. Gece kullanımı için ideal, sofistike bir koku."
M-162,Montale - chocolate greedy,Unisex,,,0.0,50,,"Bitter Çikolata, Kahve","Vanilya, Tonka Fasulyesi","Süt, Amber","Sonbahar,Kış",Her İkisi,"Günlük,Özel Davet","Casual,Şık",Gourmand,Orta,"Tatlı,Çekici,Sıcak","Chocolate Greedy, zengin çikolata ve kahve notalarıyla tatlı ve davetkar bir unisex parfümdür. Günlük ve özel anlarda rahatlıkla kullanılabilir."
M-163,Montale - Honey Aoud,Unisex,,,200.0,110,,"Bal, Bergamot","Gül, Yasemin","Oud, Amber","Sonbahar,Kış",Gece,"Özel Davet,Romantik","Şık,Formal","Oryantal,Çiçeksi",Orta,"Zarif,Sıcak,Çekici","Honey Aoud, bal ve oudun büyüleyici birleşimiyle sıcak ve sofistike bir koku sunar. Romantik ve özel anlar için uygundur."
M-164,Montale - Mukhallat,Unisex,,,200.0,30,,"Narenciye, Baharatlar","Gül, Yasemin","Oud, Amber, Misk","Sonbahar,Kış",Her İkisi,"Günlük,Özel Davet","Şık,Formal","Oryantal,Çiçeksi",Orta,"Zengin,Gizemli,Çekici","Mukhallat, baharat ve çiçek notalarının oud ile harmanlandığı yoğun ve sofistike bir unisex parfümdür. Hem gündüz hem gece kullanıma uygundur."
M-165,Montale - Jasmine,Unisex,,,0.0,45,,"Yasemin, Bergamot","Yasemin, Gül","Misk, Amber","İlkbahar,Yaz",Gündüz,"Günlük,Ofis","Casual,Şık",Çiçeksi,Hafif,"Ferah,Neşeli,İnce","Jasmine, taze yasemin ve narenciye notalarıyla hafif ve ferah bir unisex parfümdür. Yaz ve ilkbahar günleri için idealdir."
M-166,Montale - Intense Cafe,Unisex,,,100.0,,,"Kahve, Bergamot","Gül, Yasemin","Vanilya, Amber","Sonbahar,Kış",Gece,"Özel Davet,Gece Hayatı","Şık,Formal","Gourmand,Oryantal",Orta,"Sıcak,Çekici,Yoğun","Intense Cafe, kahve ve vanilya notalarının birleşimiyle sıcak ve davetkar bir unisex kokudur. Soğuk havalar için mükemmeldir."
M-170,Montblack - Explorer Ultra Blue,Erkek,,,200.0,155,,"Bergamot, Misket Limonu, Mandalina","Fesleğen, Tarhun, Biber","Vetiver, Paçuli, Sedir","İlkbahar,Yaz",Gündüz,"Ofis,Günlük,Açık Hava","Casual,Sportif","Narenciye,Aromatik,Odunsu",Orta,"Enerjik,Taze,Canlı","Explorer Ultra Blue, ferah narenciye ve aromatik notalarıyla dinamik ve enerjik bir erkek parfümüdür. Günlük kullanım için idealdir."
M-173,Maison Martine Margıella by the Fıreplace,Unisex,,,200.0,,,"Bergamot, Mandalina","Tarçın, Karanfil","Tütün, Odun, Vanilya","Sonbahar,Kış",Gece,"Özel Davet,Romantik","Şık,Formal","Oryantal,Odunsu",Orta,"Sıcak,Gizemli,Çekici","By the Fireplace, sıcak odunsu ve baharatlı notalarıyla kış akşamlarına uygun unisex bir parfümdür. Romantik ve samimi ortamlar için idealdir."
N-111,Narciso Rodriguez - For Her Musc,Kadın,,,100.0,145,,"Portakal Çiçeği, Şeftali","Misk, Amber","Paçuli, Sedir","İlkbahar,Yaz",Gündüz,"Ofis,Günlük","Casual,Şık","Çiçeksi,Misk",Orta,"Zarif,Temiz,İnce","For Her Musc, narenciye ve misk notalarının zarif birleşimiyle feminen ve taze bir kadın parfümüdür. Günlük kullanım için uygundur."
N-112,Narciso Rodriguez - Pure Musc For Her,Kadın,,,100.0,125,,"Misk, Beyaz Çiçekler","Misk, Amber","Misk, Paçuli","İlkbahar,Yaz",Gündüz,"Ofis,Günlük","Casual,Şık","Misk,Pudralı",Hafif,"Saf,Temiz,İnce","Pure Musc For Her, yoğun misk notalarıyla saf ve pudralı bir kadın parfümüdür. Hafif yapısıyla günlük kullanıma uygundur."
N-113,Narciso Rodiriguez - Narciso Rouge,Kadın,,,200.0,130,,"Narenciye, Baharatlar","Gül, Misk","Paçuli, Amber","Sonbahar,Kış",Gece,"Özel Davet,Romantik","Şık,Formal","Oryantal,Çiçeksi",Orta,"Çekici,Sıcak,Gizemli","Narciso Rouge, baharat ve çiçek notalarının sıcak birleşimiyle sofistike ve çekici bir kadın parfümüdür. Gece kullanımı için uygundur."
N-114,Narciso Rodiriguez - Poudre,Kadın,,,100.0,122,,"Misk, Beyaz Çiçekler","Misk, Amber","Paçuli, Vanilya","İlkbahar,Sonbahar",Her İkisi,"Ofis,Günlük","Casual,Şık","Pudralı,Misk",Orta,"Yumuşak,İnce,Temiz","Poudre, pudralı misk ve vanilya notalarıyla yumuşak ve zarif bir kadın parfümüdür. Hem gündüz hem gece kullanıma uygundur."
N-115,Narciso Rodiriguez- For her,Kadın,,,300.0,,,"Portakal Çiçeği, Şeftali","Misk, Amber","Paçuli, Sedir","İlkbahar,Yaz",Her İkisi,"Ofis,Günlük,Romantik","Casual,Şık","Çiçeksi,Misk",Orta,"Zarif,Çekici,İnce","For Her, narenciye ve misk notalarının dengeli birleşimiyle feminen ve zarif bir kadın parfümüdür. Çok yönlü kullanıma uygundur."
N-121,Nasomatto - Black Afgano,Unisex,,,200.0,195,,"Kenevir, Kahve","Tütün, Reçine","Oud, Misk, Taban Notaları","Sonbahar,Kış",Gece,"Özel Davet,Gece Hayatı","Şık,Formal","Odunsu,Oryantal,Deri",Çok Yoğun,"Gizemli,Yoğun,Çekici","Black Afgano, yoğun odunsu ve deri notalarıyla karanlık ve gizemli bir unisex parfümdür. Gece kullanımı için idealdir."
N-122,Nasomatto - Narcotic Venus,Unisex,,,200.0,182,,"Yasemin, Gardenya","Misk, Amber","Vanilya, Sandal Ağacı","İlkbahar,Yaz",Her İkisi,"Romantik,Özel Davet","Şık,Formal","Çiçeksi,Gourmand",Orta,"Çekici,Zarif,Sıcak","Narcotic Venus, çiçeksi ve gourmand notaların birleşimiyle baştan çıkarıcı ve zarif bir unisex parfümdür. Romantik ve özel anlar için uygundur."
N-131,Nicolai - Patchouli intense,Unisex,,,200.0,92,,"Bergamot, Mandalina, Karanfil","Paçuli, Yasemin, Gül","Misk, Amber, Sedir","Sonbahar,Kış",Gece,"Özel Davet,Gece Hayatı","Şık,Formal","Oryantal,Odunsu",Yoğun,"Gizemli,Çekici,Yoğun","Patchouli Intense, derin paçuli ve odunsu notalarla zenginleşmiş yoğun bir koku. Akşam ve özel anlar için ideal."
N-132,Nicolai- New york intense,Unisex,,,200.0,285,,"Bergamot, Limon, Nane","Fesleğen, Lavanta, Menekşe","Misk, Amber, Sedir","İlkbahar,Yaz","Gündüz,Gece","Ofis,Günlük,Açık Hava","Casual,Formal","Narenciye,Aromatik",Orta,"Canlandırıcı,Modern,Enerjik","New York Intense, taze narenciye ve aromatik notaların enerjik birleşimiyle şehir hayatına uyum sağlar."
N-141,Nishane - Ani,Unisex,,,200.0,,,"Anason, Bergamot, Mandalina","Gül, Yasemin, Paçuli","Misk, Ambergris, Sedir","İlkbahar,Sonbahar","Gündüz,Gece","Özel Davet,Romantik,Gece Hayatı","Şık,Formal","Oryantal,Çiçeksi",Yoğun,"Çekici,Kalıcı,Özgün","Ani, baharatlı anason ve zengin çiçek notalarıyla dikkat çeken sofistike bir unisex parfüm."
N-142,Nishane – Hacivat,Unisex,,,500.0,,,"Bergamot, Limon, Anason","Lavanta, Menekşe, Gül","Paçuli, Amber, Misk","İlkbahar,Yaz",Gündüz,"Ofis,Günlük,Açık Hava","Casual,Sportif","Narenciye,Aromatik",Orta,"Ferah,Canlandırıcı,Neşeli","Hacivat, taze narenciye ve aromatik notaların enerjik uyumuyla günlük kullanıma uygun hafif bir koku."
N-143,Nishane - Papılefıko,Unisex,,,200.0,,,"Mandalina, Bergamot, Ananas","Gül, Yasemin, Ylang Ylang","Vanilya, Paçuli, Misk","Yaz,İlkbahar","Gündüz,Gece","Günlük,Romantik,Özel Davet","Şık,Bohem","Gourmand,Çiçeksi",Orta,"Tatlı,Çekici,Neşeli","Papılefıko, tropikal meyve ve çiçek notalarının tatlı ve enerjik birleşimiyle yaz akşamlarına uygun."
N-144,Nishane- Tero,Unisex,,,400.0,,,"Bergamot, Limon, Anason","Lavanta, Paçuli, Yasemin","Misk, Amber, Sedir","İlkbahar,Sonbahar","Gündüz,Gece","Ofis,Özel Davet","Formal,Şık","Aromatik,Odunsu",Orta,"Zarif,Modern,Çekici","Tero, aromatik ve odunsu notaların dengeli birleşimiyle hem gündüz hem gece kullanıma uygun."
N-145,Nishane - Tempfluo,Unisex,,,200.0,,,"Narenciye, Bergamot, Limon","Lavanta, Fesleğen, Yasemin","Misk, Ambergris, Sedir","İlkbahar,Yaz",Gündüz,"Ofis,Günlük,Açık Hava","Casual,Sportif","Narenciye,Aromatik",Hafif,"Ferah,Canlandırıcı,Neşeli","Tempfluo, taze narenciye ve aromatik notalarla yaz günlerine ferahlık katan hafif bir parfüm."
O-101,Orto Parisi- Megamere,Unisex,,,400.0,995,,"Bergamot, Mandalina, Ananas","Paçuli, Yasemin, Gül","Amber, Misk, Sedir","Sonbahar,Kış",Gece,"Özel Davet,Gece Hayatı,Romantik","Şık,Formal","Oryantal,Odunsu",Çok Yoğun,"Gizemli,Çekici,Lüks","Megamere, zengin odunsu ve oryantal notalarla geceye damga vuran yoğun ve sofistike bir koku."
O-110,Ormonde Jayne - Man,Erkek,,,100.0,155,,"Bergamot, Kişniş, Limon","Siyah Biber, Yasemin, Sardunya","Vetiver, Sedir, Amber","İlkbahar,Sonbahar","Gündüz,Gece","Ofis,Özel Davet","Formal,Şık","Aromatik,Odunsu",Orta,"Zarif,Modern,Erkeksi","Ormonde Jayne Man, aromatik ve odunsu notaların dengeli birleşimiyle sofistike bir erkek kokusu."
O-120,Oriflame - Eclat Femme,Kadın,,,0.0,72,,"Portakal Çiçeği, Bergamot, Mandalina","Yasemin, Frezya, Gül","Sedir, Misk, Amber","İlkbahar,Yaz",Gündüz,"Ofis,Günlük,Açık Hava","Casual,Şık","Çiçeksi,Narenciye",Hafif,"Ferah,Neşeli,Romantik","Eclat Femme, taze narenciye ve çiçek notalarıyla günlük kullanıma uygun hafif ve ferah bir kadın parfümü."
